IP-Address,Country,Longitude,Latitude,Attack-Frequency
216.218.206.69,United States,37.5497,-121.9621,1
184.105.247.252,United States,40.7002,-111.9434,1
74.82.47.5,United States,37.5497,-121.9621,5
61.158.163.58,China,34.6836,113.5325,6
216.218.206.68,United States,37.5497,-121.9621,3
216.218.206.69,United States,37.5497,-121.9621,2
45.33.13.121,United States,32.7787,-96.8218,4
45.33.13.121,United States,32.7787,-96.8218,2
45.33.13.121,United States,32.7787,-96.8218,2
184.105.247.195,United States,40.7002,-111.9434,2
216.218.206.69,United States,37.5497,-121.9621,1
